Portfolio,Period,Return
Mixed Equity,1/31/2016,-2.25%
Mixed Equity,2/29/2016,0.24%
Mixed Equity,3/31/2016,4.00%
Mixed Equity,4/30/2016,0.20%
Mixed Equity,5/31/2016,1.07%
Mixed Equity,6/30/2016,0.90%
Mixed Equity,7/31/2016,NA
Mixed Equity,8/31/2016,NA
Mixed Equity,9/30/2016,NA
Mixed Equity,10/31/2016,-1.47%
Mixed Equity,11/30/2016,1.35%
Mixed Equity,12/31/2016,1.19%
Mixed Equity,1/31/2017,1.22%
Mixed Equity,2/28/2017,2.57%
Mixed Equity,3/31/2017,0.06%
Mixed Equity,4/30/2017,0.86%
Mixed Equity,5/31/2017,1.08%
Mixed Equity,6/30/2017,NA
Mixed Equity,7/31/2017,NA
Mixed Equity,8/31/2017,0.55%
Mixed Equity,9/30/2017,1.00%
Mixed Equity,10/31/2017,1.43%
Mixed Equity,11/30/2017,1.90%
Mixed Equity,12/31/2017,0.81%
Mixed Equity,1/31/2018,2.98%
Mixed Equity,2/28/2018,-2.51%
Mixed Equity,3/31/2018,-1.22%
